Academic Year,TAP College Code,Federal School Code,Level,TAP Level of Study,TAP College Name,Sector Type,TAP Sector Group,TAP Recipient Headcount,TAP Recipient FTEs,TAP Recipient Dollars
2021,120,2699,U,4 yr Undergrad,CLARKSON UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,524,496.65,1387215.54
2021,120,2699,U,5 yr Undergrad,CLARKSON UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1,0.26,321.94
2021,2036,6787,U,2 yr Undergrad,CLINTON COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,168,125.91,416467.35
2021,130,2703,U,4 yr Undergrad,COL OF MT ST VINCENT 4YR SEM,PRIVATE,5-INDEPENDENT,892,768.87,2919898.41
2021,130,2703,U,5 yr Undergrad,COL OF MT ST VINCENT 4YR SEM,PRIVATE,5-INDEPENDENT,3,1.28,4680.54
2021,125,2701,U,4 yr Undergrad,COLGATE UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,169,170.09,561223.09
2021,7124,5208,U,2 yr Undergrad,COLL WESTCHESTER 2YR,PRIVATE,6-BUS. DEGREE,167,155.86,652742.85
2021,7121,5208,U,2 yr Undergrad,COLL WESTCHESTER 2YR EVE,PRIVATE,6-BUS. DEGREE,69,48.72,200421.77
2021,6124,5208,U,4 yr Undergrad,COLL WESTCHESTER 4YR BBA DAY,PRIVATE,6-BUS. DEGREE,172,199.61,846098.68
2021,6121,5208,U,4 yr Undergrad,COLL WESTCHESTER 4YR BBA EVE,PRIVATE,6-BUS. DEGREE,42,32.22,123843.03
2021,6122,5208,U,4 yr Undergrad,COLL WESTCHESTER EVE BACH ONLINE,PRIVATE,6-BUS. DEGREE,49,34.84,125710.50
2021,7131,5208,U,2 yr Undergrad,COLL WESTCHESTER ONLINE ASSOC EVE,PRIVATE,6-BUS. DEGREE,45,34.14,149747.58
2021,140,2705,U,4 yr Undergrad,COLLEGE OF SAINT ROSE 4YR UG,PRIVATE,5-INDEPENDENT,555,504.49,1618233.43
2021,171,2707,U,4 yr Undergrad,COLUMBIA UNIV,PRIVATE,5-INDEPENDENT,489,453.7,1746434.91
2021,171,2707,U,5 yr Undergrad,COLUMBIA UNIV,PRIVATE,5-INDEPENDENT,1,1.03,5719.32
2021,2038,6789,U,2 yr Undergrad,COLUMBIA-GREENE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,143,112.19,326774.02
2021,2040,2709,U,4 yr Undergrad,CONCORDIA COLLEGE,PRIVATE,5-INDEPENDENT,7,3.55,13091.40
2021,8224,42769,U,4 yr Undergrad,CONGREGATION TALMIDEI MESIVTA TIF,PRIVATE,9-CHAPTER XXII,118,123.78,636181.69
2021,170,2710,U,4 yr Undergrad,COOPER UNION ADVNCMT SCI ART,PRIVATE,5-INDEPENDENT,102,101.23,347391.62
2021,174,2711,U,4 yr Undergrad,CORNELL UNIV STATUTORY COLLEGES,PUBLIC,3-SUNY SO,437,424.68,1634347.45
2021,174,2711,U,5 yr Undergrad,CORNELL UNIV STATUTORY COLLEGES,PUBLIC,3-SUNY SO,2,1.52,3037.50
2021,175,2711,U,4 yr Undergrad,CORNELL UNIVERSITY,PRIVATE,5-INDEPENDENT,933,916.22,3355913.55
2021,2042,2863,U,2 yr Undergrad,CORNING COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,488,365.41,1115673.01
2021,190,6445,U,2 yr Undergrad,CROUSE IRVING HOSP SCH OF NURSING,PRIVATE,5-INDEPENDENT,42,25.95,85497.60
2021,8226,4776,U,4 yr Undergrad,CTL YESH TOMCHEI TMIMIM LUBAVITZ,PRIVATE,9-CHAPTER XXII,5,5.38,21429.75
2021,2045,7304,U,2 yr Undergrad,CULINARY INSTITUTE OF AMERICA 2YR,PRIVATE,5-INDEPENDENT,47,41.11,150806.47
2021,6045,7304,U,4 yr Undergrad,CULINARY INSTITUTE OF AMERICA 4YR,PRIVATE,5-INDEPENDENT,81,69.89,257227.36
2021,1409,7273,U,4 yr Undergrad,CUNY BARUCH COLLEGE,PUBLIC,1-CUNY SR,7026,5928.19,24227643.55
2021,1409,7273,U,5 yr Undergrad,CUNY BARUCH COLLEGE,PUBLIC,1-CUNY SR,42,27.12,111704.25
2021,1400,2692,U,2 yr Undergrad,CUNY BRONX CC,PUBLIC,2-CUNY CC,2520,1723.6,6087261.75
2021,1410,2687,U,4 yr Undergrad,CUNY BROOKLYN COLLEGE,PUBLIC,1-CUNY SR,5869,4730.28,19388389.79
2021,1410,2687,U,5 yr Undergrad,CUNY BROOKLYN COLLEGE,PUBLIC,1-CUNY SR,102,67.87,297263.36
2021,1411,2688,U,4 yr Undergrad,CUNY CITY COLLEGE,PUBLIC,1-CUNY SR,6336,5262.56,21382875.26
2021,1411,2688,U,5 yr Undergrad,CUNY CITY COLLEGE,PUBLIC,1-CUNY SR,62,41.77,197094.36
2021,1417,2698,U,2 yr Undergrad,CUNY COL STATEN ISLAND,PUBLIC,1-CUNY SR,1,0.51,520.10
2021,1417,2698,U,4 yr Undergrad,CUNY COL STATEN ISLAND,PUBLIC,1-CUNY SR,4501,3641.24,13945967.51
2021,1417,2698,U,5 yr Undergrad,CUNY COL STATEN ISLAND,PUBLIC,1-CUNY SR,40,26.57,112805.84
2021,1422,4765,U,4 yr Undergrad,CUNY GRAD CTR-SCHOL OF LABOR UG,PUBLIC,1-CUNY SR,2,1.53,3382.72
2021,1420,4765,U,4 yr Undergrad,CUNY GRAD SCH UNDERGRAD PROG,PUBLIC,1-CUNY SR,462,320.72,1209477.91
2021,1412,7022,U,2 yr Undergrad,CUNY HERBERT H LEHMAN COLLEGE,PUBLIC,1-CUNY SR,1,0.51,2894.29
2021,1412,7022,U,4 yr Undergrad,CUNY HERBERT H LEHMAN COLLEGE,PUBLIC,1-CUNY SR,5537,4378.27,17832533.52
2021,1412,7022,U,5 yr Undergrad,CUNY HERBERT H LEHMAN COLLEGE,PUBLIC,1-CUNY SR,55,33.72,147802.76
2021,1401,8611,U,2 yr Undergrad,CUNY HOSTOS CC,PUBLIC,2-CUNY CC,1555,1066.11,3677950.66
2021,1413,2689,U,4 yr Undergrad,CUNY HUNTER COLLEGE,PUBLIC,1-CUNY SR,8721,7303.55,28699078.84
2021,1413,2689,U,5 yr Undergrad,CUNY HUNTER COLLEGE,PUBLIC,1-CUNY SR,30,19.67,94346.75
2021,1414,2693,U,4 yr Undergrad,CUNY JOHN JAY COLLEGE,PUBLIC,1-CUNY SR,6653,5491.75,21541257.67
2021,1414,2693,U,5 yr Undergrad,CUNY JOHN JAY COLLEGE,PUBLIC,1-CUNY SR,84,55.69,235323.27
2021,1402,2694,U,2 yr Undergrad,CUNY KINGSBOROUGH CC,PUBLIC,2-CUNY CC,2785,1994.88,6812794.97
2021,1403,10051,U,2 yr Undergrad,CUNY LAGUARDIA CC,PUBLIC,2-CUNY CC,3149,2261.91,7702441.63
2021,1404,2691,U,2 yr Undergrad,CUNY MANHATTAN CC,PUBLIC,2-CUNY CC,6109,4336.66,15010437.60
2021,1404,2691,U,4 yr Undergrad,CUNY MANHATTAN CC,PUBLIC,2-CUNY CC,1,1.02,4904.61
2021,1415,10097,U,2 yr Undergrad,CUNY MEDGER EVERS COLLEGE,PUBLIC,1-CUNY SR,9,3.53,16345.83
2021,1415,10097,U,4 yr Undergrad,CUNY MEDGER EVERS COLLEGE,PUBLIC,1-CUNY SR,1629,1208.72,4725561.37
2021,1415,10097,U,5 yr Undergrad,CUNY MEDGER EVERS COLLEGE,PUBLIC,1-CUNY SR,7,3.58,14748.88
2021,1405,2696,U,2 yr Undergrad,CUNY NYC COLLEGE OF TECHNOLOGY,PUBLIC,1-CUNY SR,48,21.84,87741.28
2021,1405,2696,U,4 yr Undergrad,CUNY NYC COLLEGE OF TECHNOLOGY,PUBLIC,1-CUNY SR,5553,4161.43,16890708.71
2021,1405,2696,U,5 yr Undergrad,CUNY NYC COLLEGE OF TECHNOLOGY,PUBLIC,1-CUNY SR,15,9.2,43249.35
2021,1416,2690,U,4 yr Undergrad,CUNY QUEENS COLLEGE,PUBLIC,1-CUNY SR,5993,4825.1,18766249.59
2021,1416,2690,U,5 yr Undergrad,CUNY QUEENS COLLEGE,PUBLIC,1-CUNY SR,79,51.86,231794.95
2021,1407,2697,U,2 yr Undergrad,CUNY QUEENSBOROUGH CC,PUBLIC,2-CUNY CC,2923,2135.89,6905806.48
2021,1421,42101,U,2 yr Undergrad,CUNY STELLA & CHARLES GUTTMAN CC,PUBLIC,2-CUNY CC,425,315.22,1124484.81
2021,1418,4759,U,4 yr Undergrad,CUNY YORK COLLEGE,PUBLIC,1-CUNY SR,2441,1951.24,7525785.95
2021,1418,4759,U,5 yr Undergrad,CUNY YORK COLLEGE,PUBLIC,1-CUNY SR,28,16.86,69442.05
2021,195,2712,U,4 yr Undergrad,D'YOUVILLE UNIVERSITY - 4YR UG,PRIVATE,5-INDEPENDENT,383,346.6,1271802.79
2021,195,2712,U,5 yr Undergrad,D'YOUVILLE UNIVERSITY - 4YR UG,PRIVATE,5-INDEPENDENT,4,2.57,6722.38
2021,670,2808,U,4 yr Undergrad,DAEMEN UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,638,564.31,1801504.00
2021,670,2808,U,5 yr Undergrad,DAEMEN UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,5,4.11,17635.84
2021,2265,21691,U,2 yr Undergrad,DAVIS COLLEGE,PRIVATE,5-INDEPENDENT,2,2.06,11644.18
2021,2315,10727,U,2 yr Undergrad,DEVRY COLLEGE OF NEW YORK 2YR,PRIVATE,6-BUS. DEGREE,4,3.84,11734.09
2021,6315,10727,U,4 yr Undergrad,DEVRY COLLEGEE OF NEW YORK 4YR,PRIVATE,6-BUS. DEGREE,68,53.96,182772.69
2021,2051,2713,U,4 yr Undergrad,DOMINICAN COLLEGE-WEEKEND 4YR UG,PRIVATE,5-INDEPENDENT,4,2.4,8242.39
2021,2050,2713,U,4 yr Undergrad,DOMINICAN UNIVERSITY OF NY 4YR UG,PRIVATE,5-INDEPENDENT,386,349.43,1168578.66
2021,2053,2864,U,2 yr Undergrad,DUTCHESS COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,779,572.15,1498885.59
2021,580,42514,U,2 yr Undergrad,ELIM BIBLE INSTITUTE AND COLLEGE,PRIVATE,5-INDEPENDENT,27,16.96,65629.78
2021,580,42514,U,4 yr Undergrad,ELIM BIBLE INSTITUTE AND COLLEGE,PRIVATE,5-INDEPENDENT,24,15.93,67002.32
2021,215,2718,U,4 yr Undergrad,ELMIRA COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,158,154.67,415897.50
2021,2330,42622,U,2 yr Undergrad,ELYON COLLEGE,PRIVATE,5-INDEPENDENT,57,39.31,124428.76
2021,7510,22195,U,2 yr Undergrad,EMPIRE EDUC CORP (MILDRED ELLEY),PRIVATE,6-BUS. DEGREE,738,572.54,1934989.00
2021,916,10286,U,2 yr Undergrad,EMPIRE STATE UNIV (2YR UNDERGRAD),PUBLIC,3-SUNY SO,126,85.95,339564.74
2021,916,10286,U,4 yr Undergrad,EMPIRE STATE UNIV (2YR UNDERGRAD),PUBLIC,3-SUNY SO,7,3.37,16364.50
2021,913,10286,U,2 yr Undergrad,EMPIRE STATE UNIV (UNDERGRADUATE),PUBLIC,3-SUNY SO,1,0.51,2864.09
2021,913,10286,U,4 yr Undergrad,EMPIRE STATE UNIV (UNDERGRADUATE),PUBLIC,3-SUNY SO,1415,1060.99,3857894.14
2021,2065,10684,U,2 yr Undergrad,ERIE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,2023,1513.01,5234887.47
2021,999,2834,U,4 yr Undergrad,EXCELSIOR UNIV - 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,61,36.23,127925.61
2021,975,2866,U,4 yr Undergrad,FASHION INST TECH UPPER DIVISION,PUBLIC,4-SUNY CC,814,704.74,2398004.57
2021,975,2866,U,5 yr Undergrad,FASHION INST TECH UPPER DIVISION,PUBLIC,4-SUNY CC,15,8.36,39986.10
2021,2070,2866,U,2 yr Undergrad,FASHION INST TECH-LOWER DIVISION,PUBLIC,4-SUNY CC,882,766.91,2642963.33
2021,2070,2866,U,5 yr Undergrad,FASHION INST TECH-LOWER DIVISION,PUBLIC,4-SUNY CC,1,0.51,2628.83
2021,2256,7532,U,2 yr Undergrad,FINGER LAKES COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,990,708.66,2032780.28
2021,847,21601,U,2 yr Undergrad,FINGER LAKES HEALTH COLL NURSING,PRIVATE,5-INDEPENDENT,22,14.35,45499.59
2021,2075,12561,U,4 yr Undergrad,FIVE TOWNS COLLEGE 4YR UNDERGRAD,PRIVATE,6-BUS. DEGREE,235,221.05,816047.47
2021,2075,12561,U,5 yr Undergrad,FIVE TOWNS COLLEGE 4YR UNDERGRAD,PRIVATE,6-BUS. DEGREE,2,1.05,5788.65
2021,245,2722,U,4 yr Undergrad,FORDHAM UNIVERSITY,PRIVATE,5-INDEPENDENT,1360,1326.8,5547649.84
2021,245,2722,U,5 yr Undergrad,FORDHAM UNIVERSITY,PRIVATE,5-INDEPENDENT,10,8.74,46835.69
2021,2240,2867,U,2 yr Undergrad,FULTON MONTGOMERY COMM COLLEGE,PUBLIC,4-SUNY CC,345,264.57,778462.43
2021,2252,6782,U,2 yr Undergrad,GENESEE COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,562,394.75,1071655.97
2021,270,2728,U,4 yr Undergrad,HAMILTON COLLEGE,PRIVATE,5-INDEPENDENT,171,170.6,559827.44
2021,270,2728,U,5 yr Undergrad,HAMILTON COLLEGE,PRIVATE,5-INDEPENDENT,2,1.03,4700.32
2021,285,2729,U,4 yr Undergrad,HARTWICK COLLEGE,PRIVATE,5-INDEPENDENT,320,298.04,957525.39
2021,286,10153,U,2 yr Undergrad,HELE FULD SCHOOL REG NURSING,PRIVATE,5-INDEPENDENT,39,33.23,101282.08
2021,288,10153,U,4 yr Undergrad,HELENE FULD SCHOOL REG NURS BA,PRIVATE,5-INDEPENDENT,41,42.01,150686.55
2021,287,10153,U,2 yr Undergrad,HELENE FULD SCHOOL REG NURSING,PRIVATE,5-INDEPENDENT,39,26.81,77760.87
2021,2254,4788,U,2 yr Undergrad,HERKIMER COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,648,489.8,1587392.32
2021,2083,2735,U,4 yr Undergrad,HILBERT COLLEGE,PRIVATE,5-INDEPENDENT,334,294.44,925476.16
2021,2083,2735,U,5 yr Undergrad,HILBERT COLLEGE,PRIVATE,5-INDEPENDENT,2,1.03,2775.90
2021,295,2731,U,4 yr Undergrad,HOBART AND WILLIAM SMITH COLLS 4Y,PRIVATE,5-INDEPENDENT,248,244.77,837107.11
2021,295,2731,U,5 yr Undergrad,HOBART AND WILLIAM SMITH COLLS 4Y,PRIVATE,5-INDEPENDENT,3,2.4,10818.66
2021,300,2732,U,4 yr Undergrad,HOFSTRA UNIV 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,905,846.34,3092233.88
2021,305,2734,U,4 yr Undergrad,HOUGHTON UNIVERSITY,PRIVATE,5-INDEPENDENT,290,276.97,851540.26
2021,2080,2868,U,2 yr Undergrad,HUDSON VALLEY COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,1381,1042.08,2847979.31
2021,325,2737,U,4 yr Undergrad,IONA UNIVERSITY 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,683,645.93,2154534.39
2021,1535,21579,U,2 yr Undergrad,ISABELLA GRAHAM HART SCH PRAC NUR,PRIVATE,8-OTHER,150,112.93,478164.12
2021,2275,7375,U,2 yr Undergrad,ISLAND DRAFTING & TECHNICAL INST.,PRIVATE,6-BUS. DEGREE,26,25.93,69063.55
2021,330,2739,U,4 yr Undergrad,ITHACA COLLEGE,PRIVATE,5-INDEPENDENT,642,610,2033743.51
2021,330,2739,U,5 yr Undergrad,ITHACA COLLEGE,PRIVATE,5-INDEPENDENT,1,0.51,2262.55
2021,7480,8495,U,2 yr Undergrad,JAMESTOWN BUSINESS COLL 2 YR ASSO,PRIVATE,6-BUS. DEGREE,189,157.17,650443.15
2021,6480,8495,U,4 yr Undergrad,JAMESTOWN BUSINESS COLL 4YR BBA,PRIVATE,6-BUS. DEGREE,68,53.26,176482.28
2021,2085,2869,U,2 yr Undergrad,JAMESTOWN COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,623,467.77,1483371.36
2021,2220,2870,U,2 yr Undergrad,JEFFERSON COMMUNITY COLLEGE,PUBLIC,4-SUNY CC,473,360.22,1053207.82
2021,340,2742,U,4 yr Undergrad,JUILLIARD SCHOOL 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,14,13.87,52411.13
2021,8228,10549,U,4 yr Undergrad,KEHILATH YAKOV RABBINCAL SEMINARY,PRIVATE,9-CHAPTER XXII,125,132.4,663216.71
2021,8228,10549,U,5 yr Undergrad,KEHILATH YAKOV RABBINCAL SEMINARY,PRIVATE,9-CHAPTER XXII,10,10.23,48579.94
2021,345,2744,U,4 yr Undergrad,KEUKA COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,406,360.99,1129434.75
2021,375,2748,U,4 yr Undergrad,LEMOYNE COLLEGE 4YR UNDERGRAD,PRIVATE,5-INDEPENDENT,794,740.86,2487833.26
2021,2178,7466,U,4 yr Undergrad,LIM COLLEGE,PRIVATE,6-BUS. DEGREE,101,88.8,296402.62
2021,7941,20937,U,2 yr Undergrad,LONG ISLAND BUS INST 2YR TRIMEST,PRIVATE,6-BUS. DEGREE,5,3.49,13634.86
2021,7738,20937,U,2 yr Undergrad,LONG ISLAND BUS INST UG SEMESTER,PRIVATE,6-BUS. DEGREE,1233,953.86,3647821.72
2021,403,2751,U,4 yr Undergrad,LONG ISLAND UNIV 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,1700,1520.4,5681565.26
2021,403,2751,U,5 yr Undergrad,LONG ISLAND UNIV 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,16,12.33,60581.58
2021,8235,13026,U,4 yr Undergrad,MACHZIKEI HADATH RABBINICAL COLL,PRIVATE,9-CHAPTER XXII,87,86.65,423925.58
2021,8235,13026,U,5 yr Undergrad,MACHZIKEI HADATH RABBINICAL COLL,PRIVATE,9-CHAPTER XXII,12,12.38,57753.43
2021,7977,7401,U,2 yr Undergrad,MANDL SCHOOL,PRIVATE,6-BUS. DEGREE,332,282.21,877518.97
2021,407,2758,U,4 yr Undergrad,MANHATTAN COLLEGE - 2 YR,PRIVATE,5-INDEPENDENT,46,33.92,164710.11
2021,405,2758,U,4 yr Undergrad,MANHATTAN COLLEGE 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,740,699.88,2508964.67
2021,405,2758,U,5 yr Undergrad,MANHATTAN COLLEGE 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,6,5.65,29391.52
2021,7937,31933,U,2 yr Undergrad,MANHATTAN SCHOOL OF COMPUTER TECH,PRIVATE,7-BUS. NON-DEG,141,119.55,457937.54
2021,410,2759,U,4 yr Undergrad,MANHATTAN SCHOOL OF MUSIC 4 YR UN,PRIVATE,5-INDEPENDENT,11,11.31,32289.21
2021,420,2760,U,4 yr Undergrad,MANHATTANVILLE COLLEGE 4YR UNDERG,PRIVATE,5-INDEPENDENT,303,290.33,988863.95
2021,2093,2763,U,2 yr Undergrad,MARIA COLL-REGULAR DAY 2YR UG,PRIVATE,5-INDEPENDENT,22,12.85,49812.00
2021,6093,2763,U,4 yr Undergrad,MARIA COLLEGE 4 YR,PRIVATE,5-INDEPENDENT,15,12.33,49529.37
2021,1550,21601,U,2 yr Undergrad,MARION S WHELAN PRAC NURSING TRIM,PRIVATE,8-OTHER,2,1.23,2211.24
2021,440,2765,U,4 yr Undergrad,MARIST COLLEGE 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,417,396.49,1344532.12
2021,440,2765,U,5 yr Undergrad,MARIST COLLEGE 4 YR UNDERGRAD,PRIVATE,5-INDEPENDENT,4,2.57,11450.45
2021,447,2769,U,4 yr Undergrad,MARYMOUNT MANHATTAN COLLEGE,PRIVATE,5-INDEPENDENT,163,148.51,578784.94
2021,447,2769,U,5 yr Undergrad,MARYMOUNT MANHATTAN COLLEGE,PRIVATE,5-INDEPENDENT,1,0.51,256.93
2021,8236,42615,U,4 yr Undergrad,MECHON LHOYROA,PRIVATE,9-CHAPTER XXII,5,4.31,22756.93
2021,8236,42615,U,5 yr Undergrad,MECHON LHOYROA,PRIVATE,9-CHAPTER XXII,4,2.69,12314.38
